valid_time,Target Error (F),NBM Temperature (F),NBM Cloud Cover (%),NBM Mixing Height (100s ft AGL),NBM Wind Speed (kts),NBM Wind Direction (deg),NBM RH (%),hrrr_lpw (mm),1000mb-700mb Lapse Rate (C/km),700mb-500mb Lapse Rate (C/km),rh_1000,rh_975,rh_950,rh_925,rh_900,rh_875,rh_850,rh_825,rh_800,rh_775,rh_750,rh_725,rh_700,rh_675,rh_650,rh_625,rh_600,rh_575,rh_550,rh_525,rh_500,sin_season,cos_season
2021-03-02 21:00:00,-4.0,6.0,67.66666666666667,29.0,21.0,30.0,54.26218688300889,3.3871340316735616,1.619676174557555,5.97123447725493,62.30237423844495,62.116637184920876,64.29440229796171,71.58196814621294,79.47525892126419,79.73580069320586,82.29952154540102,84.11474371170455,80.36586668010243,76.85687060798321,73.2690016483568,70.10130589649349,65.95160059819618,61.854383536631865,57.499722003839274,55.20330398603441,52.4562370519863,51.995711340626485,51.45031742849042,51.57247074688757,51.9955679554058,0.8670985522812081,0.4981366284784055
2021-03-03 21:00:00,-3.0,19.0,9.666666666666666,26.0,15.0,30.0,49.08967272810389,3.480570017897438,3.733186119511517,6.490910245022273,60.04673250378857,59.93880306962651,62.203815089316805,67.82134271973489,67.07828994024598,66.64750456919285,66.18815698585877,64.65865655687465,61.771089832352914,56.50817585721971,47.8843561528505,36.61097598795253,25.691441460541924,18.291911870860254,12.975732834007184,14.02710360150797,16.12692651514427,20.187465565639002,24.741280851996994,29.60537849169727,30.483841228361,0.8755389928586302,0.4831474640149687
2021-03-04 21:00:00,-4.0,14.0,75.33333333333333,27.0,16.0,30.0,60.956979219161354,6.341166063871575,1.906866835093668,6.113094683493338,78.00863398478846,77.58462994178764,79.27338409420202,85.35718982050565,90.83086773544,88.92600540142901,87.3584190650328,88.80055543279062,89.38276285761472,88.6038185807233,86.45369650910834,84.00242941792496,80.1061917306398,76.59649451178058,72.36840725099825,69.12503185256384,64.70193566866654,62.25175078785408,59.14019619466618,56.715955382895004,55.90400074534111,0.8837203473619977,0.4680153284438345
2021-03-05 21:00:00,1.9,14.0,55.666666666666664,29.0,12.0,29.0,55.55033720509647,3.6035603072875015,5.555891878194278,5.347577647308245,72.30848321866203,72.03061170848014,75.00365093117539,83.91465096364239,94.45551954014424,96.32325751947212,87.19480960237394,77.70478229368443,71.15979294157492,67.75112063971238,64.67930456586656,61.7059388890437,58.301085819804356,54.835797366272864,49.7698762625178,48.48233309115842,46.949692792700546,49.1218266651311,49.49351133485926,49.43430609544933,52.98844157714516,0.8916401947968874,0.45274469960737107
2021-03-06 21:00:00,-2.0999999999999996,19.0,71.33333333333333,35.0,12.0,28.0,56.332628414709376,4.67966025115506,6.071522991041757,6.513141445811434,71.67491297016247,71.43985154551076,76.40112336458803,84.22862930497497,90.87258808590212,98.63592536511877,99.39923259855613,98.83137562345036,96.50092000421029,86.9191467248839,82.03592645821631,79.72128650373645,78.33821900938118,78.26285931007742,77.35025538453124,77.20064220114942,75.98504079807968,74.74108021886501,69.65773840220272,59.9448539855831,52.97647941781135,0.8992961915530253,0.4373400963303323
2021-03-07 21:00:00,1.0,20.0,33.666666666666664,28.0,10.0,30.0,56.48701828990244,4.618843504795572,3.963667446567591,6.286370739913001,75.1725675760412,77.5932584073619,86.95933141900663,97.75533732452425,99.59054642842345,98.05576179701802,90.53539582987447,80.13596460314504,71.94984267407833,67.00972748299043,62.13295469713823,60.176037309311404,58.081444292951254,57.30017543785099,56.798116389399176,56.742322927507246,57.07709220441358,58.134718889619364,58.375854481643564,57.63781707105583,57.90837134177432,0.9066860720977985,0.4218060770826634
2021-03-08 21:00:00,3.0,25.0,30.0,29.0,7.0,27.0,57.248771702946776,3.783269408272277,3.3701241756957385,5.646327537450861,72.54623694473462,76.7060004508275,86.00906901304711,96.64582400956552,99.06153771877521,94.48814946216277,62.26856885671371,42.00466030706692,33.467531045398964,29.67260071662885,27.187834538464177,23.939715577771707,20.47456392332349,17.792347071849836,17.44139699230473,19.628349422821927,19.81749517597763,18.96186625155286,16.954030404625055,13.576397620649056,12.045784477265954,0.9138076496466615,0.40614723863057883
2021-03-09 21:00:00,1.0,29.0,82.66666666666667,27.0,9.0,31.0,68.70174760365484,8.411282241399837,4.036279168748928,6.411068482946408,84.83690130410069,86.91113959940013,93.68445890232819,94.50409104205987,92.2079846600863,91.30847115821994,91.99305201305089,92.9934701081673,93.46917215418654,93.71303497773825,93.16020362870397,92.57562078339501,90.84590699380848,88.68694896972839,86.58270888831613,84.75764785325384,79.64163392316868,73.64284049276849,56.941271661302785,33.38277245425626,28.364239790710567,0.9206588168102428,0.3903682146763026
2021-03-10 21:00:00,3.0,39.0,54.0,6.0,10.0,17.0,59.29366218419092,7.671510408343871,3.5459724800850063,6.12320209695218,73.66307771842067,73.6954527390616,76.10180522795963,69.74151073252884,45.74983388283731,32.82429320291404,24.940140824014556,18.36245913060108,15.676697511469534,16.305081851468415,19.450749353391338,21.397999616879208,22.54123678684967,22.09819121803842,23.924975267850407,28.411045131696987,38.61455312876787,53.34929532402276,65.12829558218799,78.34367232510819,73.4422968319184,0.9272375462179537,0.374473674486883
2021-03-11 21:00:00,8.0,45.0,75.66666666666667,6.0,10.0,19.0,76.32467403297849,21.014036410480376,3.9422591985059987,6.820886095152396,76.07933050361666,75.11392109462969,71.58901173316418,74.29902899867571,81.27036289021365,89.39732127193271,93.550333356308,93.81334196878855,92.22999516376888,86.6206919973958,79.55946651491524,73.12067825023576,68.74219072661477,64.81101685942274,60.568140030597064,58.181568124484286,56.98281952404859,58.80435743762153,55.44631646461789,45.78840039571061,30.086173030813,0.9335418911179212,0.35846832151248087
